yearAndColor,tone,panelNo,details,bgColor,manufacturer,colorCode,colorDescription,yearRange,models,modelsWithYears,alternativeCodes,alternativeDescriptions,familyId,sid,make,model,description,url,content,year,color,image_path
,STANDARD,21329,Color Information,"rgba(0, 0, 1, 1)",BMW,416,Manufacturer,1998 - 2025,"1 SERIES,3 SERIES,4 SER. GRAN COUPE,4 SERIES,5 SERIES,6 GRAN COUPE,6 SERIES,6 SERIES GT,7 SERIES,M3,M3 COUPE,M3 LIMOUSINE,M5,M5 LIMOUSINE,M5 TOURING,M6,M6 CABRIO,M6 COUPE,X3,X4,X5,X6,Z4","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",M416,"CARBON BLACK-MET.,PRETO CARBONO-MET.",2748,691afb0a34e432.96897834,BMW,X5,,/v2/search/family,BMW 416 CARBONSCHWARZ-MET. 1998 - 2025,1998 - 2025,CARBONSCHWARZ-MET.,https://cdn.shopify.com/s/files/1/0600/6938/0246/files/bd63b233d46924a7acfdd7674e5c9988.png?v=1763389678
Roof,STANDARD,20835,Color Information,"rgba(0, 1, 1, 1)",BMW,475,Manufacturer,2000 - 2025,"1 SERIES,118,120,2 SERIES,2-SERIES GRAN COUPE,3 SER. GT,3 SERIES,4 SER. GRAN COUPE,4 SERIES,5 SERIES,6 GRAN COUPE,6 SERIES,6 SERIES GT,7 SERIES,8 SERIES,I4,IX,M2,M3,M4,M5,M5 LIMOUSINE,M5 TOURING,M6,M6 CABRIO,M6 COUPE,M8,X1,X2,X3,X4,X5,X6,X7,Z3,Z3 ROADSTER,Z4","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",M475,"BLACK SAPPHIRE-MET.,BLACK SHAPPHIRE-MET.,PRETO SAFIRA-MET.,SAPHIRSCHWARZ-MET.,SAPPHIRE BLACK-MET.",2799,691afb0a34e432.96897834,BMW,X5,,/v2/search/family,BMW 475 BLACKSAPHIR-MET. 2000 - 2025 Roof,2000 - 2025,BLACKSAPHIR-MET.(EU),https://cdn.shopify.com/s/files/1/0600/6938/0246/files/9915bd7a801170a37c661d51a0b41703.png?v=1763389696
"Bumper, Door Window, Mirror",STANDARD,20863,Color Information,"rgb(27, 27, 28)",BMW,668,Manufacturer,1990 - 2025,"1 SERIES,2 SERIES,3 SERIES,4 SERIES,5 SERIES,6 GRAN COUPE,6 SERIES,6 SERIES GT,7 SERIES,850,I3,I8,M3,M3 COUPE,M3 LIMOUSINE,M5,M5 LIMOUSINE,M5 TOURING,X1,X2,X3,X4,X5,X6,Z3,Z3 ROADSTER,Z4,Z8","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","BLACK,BONNET FLUID BLACK,FLUID BLACK,JET BLACK","BLACK,BONNET FLUID BLACK,FLUID BLACK,JET BLACK",2881,691afb0a34e432.96897834,BMW,X5,,/v2/search/family,"BMW 668 SCHWARZ II 1990 - 2025 Bumper, Door Window, Mirror",1990 - 2025,SCHWARZ II,https://cdn.shopify.com/s/files/1/0600/6938/0246/files/5e18715b4eac0ec8bcd325e821f9d5c0_069f9211-9e7c-4497-bd61-447e2d9f8776.png?v=1763389713
,STANDARD,28257,Color Information,"rgba(1, 1, 1, 1)",BMW,A90,Manufacturer,2008 - 2025,"5 SERIES,6 SERIES,6 SERIES GT,7 SERIES,I8,M5,X1,X3,X4,X5,X6,X7","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",WA90,"CINZA SOPHISTO-MET.,DUNKELGRAU XIRALLIC-MET.,SOPHISTO GREY BRILLIANT EFFECT-MET.,SOPHISTO GREY-MET.,SOPHISTOGRAU-MET.",3012,691afb0a34e432.96897834,BMW,X5,,/v2/search/family,BMW A90 DARK GRAPHITE-MET. 2008 - 2025,2008 - 2025,DARK GRAPHITE-MET.,https://cdn.shopify.com/s/files/1/0600/6938/0246/files/7a00ded864182db32822037a800ede98.png?v=1763389731
,STANDARD,28628,Color Information,"rgba(118, 119, 113, 1)",BMW,A96,Manufacturer,2008 - 2025,"1 SERIES,1 SERIES,118,120,2 ACTIVE TOURER,2 SERIES,2 SERIES,2-SERIES GRAN COUPE,2-SERIES GRAN TOURER,3 SER. GT,3 SER. GT,3 SERIES,3 SERIES,4 SER. GRAN COUPE,4 SERIES,4 SERIES,5 SERIES,5 SERIES,6 GRAN COUPE,6 SERIES,6 SERIES,6 SERIES GT,6 SERIES GT,7 SERIES,7 SERIES,8 SERIES,I4,IX,IX3,M2,M3,M3 COUPE,M3 LIMOUSINE,M4,M4,M6,M8,X1,X1,X2,X2,X3,X3,X4,X4,X5,X5,X6,X6,X7,Z4,Z4","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",WA96,"BRANCO MINERAL-MET.,MINERAL WHITE-MET.,MINERALNAYA BELYY-MET.,NANUQ WHITE-MET.",3014,691afb0a34e432.96897834,BMW,X5,,/v2/search/family,BMW A96 MINERALWEISS-MET. 2008 - 2025,2008 - 2025,MINERALWEISS-MET.,https://cdn.shopify.com/s/files/1/0600/6938/0246/files/eb1d85f9e7b8c36ead205bc40276fb0b.png?v=1763389748
,STANDARD,37540,Color Information,"rgba(0, 1, 1, 1)",BMW,C1M,Manufacturer,2017 - 2025,"1 SERIES,2 ACTIVE TOURER,2 SERIES,2-SERIES GRAN COUPE,2-SERIES GRAN TOURER,3 SERIES,5 SERIES,6 SERIES,6 SERIES GT,7 SERIES,I5,IX,IX1,IX3,M5,X1,X2,X3,X3,X4,X5,X6,X7","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",WC1M,PHYTONIC BLUE-MET.,79917,691afb0a34e432.96897834,BMW,X5,,/v2/search/family,BMW C1M PHYTONICBLAU-MET. 2017 - 2025,2017 - 2025,PHYTONICBLAU-MET.,https://cdn.shopify.com/s/files/1/0600/6938/0246/files/b3b50bdce839af39138b86a6911971a4.png?v=1763389765
,STANDARD,35940,Color Information,"rgba(1, 1, 1, 1)",BMW,C3D,Manufacturer,2018 - 2025,"X5,X6,X7","[object Object],[object Object],[object Object]",WC3D,,262867,691afb0a34e432.96897834,BMW,X5,,/v2/search/family,BMW C3D MANHATTAN-MET. 2018 - 2025,2018 - 2025,MANHATTAN-MET.,https://cdn.shopify.com/s/files/1/0600/6938/0246/files/5cd1288dfbae4a219282571270ccf125.png?v=1763389782
,STANDARD,31582,Color Information,"rgba(0, 0, 1, 1)",BMW,C3Z,Manufacturer,2011 - 2025,"3 SERIES,4 SER. GRAN COUPE,4 SERIES,5 SERIES,6 GRAN COUPE,6 SERIES,6 SERIES GT,7 SERIES,8 SERIES,M3,M4,M5,M6,M6 CABRIO,M6 COUPE,X5,X6,X7","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","WX10,X10","ENIGMATIC BLUE-MET.,TANZANITE BLUE-MET.",562426,691afb0a34e432.96897834,BMW,X5,,/v2/search/family,BMW C3Z TANSANITBLAU-MET. 2011 - 2025,2011 - 2025,TANSANITBLAU-MET.,https://cdn.shopify.com/s/files/1/0600/6938/0246/files/ffcf22668f379ed5d5c142fcbac9188c.png?v=1763389801
,STANDARD,21329,Color Information,"rgba(0, 0, 1, 1)",BMW,M416,Manufacturer,1998 - 2025,"1 SERIES,3 SERIES,3 SERIES,4 SER. GRAN COUPE,4 SERIES,5 SERIES,6 GRAN COUPE,6 SERIES,6 SERIES GT,7 SERIES,8 SERIES,M3,M3 COUPE,M3 LIMOUSINE,M5,M5 LIMOUSINE,M5 TOURING,M6,M6 CABRIO,M8,X3,X3,X4,X5,X6,X7,Z4","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",416,"CARBON BLACK-MET.,PRETO CARBONO-MET.",596297,691afb0a34e432.96897834,BMW,X5,,/v2/search/family,BMW M416 CARBONSCHWARZ-MET. 1998 - 2025,1998 - 2025,CARBONSCHWARZ-MET.,https://cdn.shopify.com/s/files/1/0600/6938/0246/files/81fbf0cf9bdf08b866204af8b46d3733.png?v=1763389818
Roof,STANDARD,20835,Color Information,"rgba(0, 1, 1, 1)",BMW,M475,Manufacturer,2000 - 2025,"1 SERIES,118,120,2 SERIES,2-SERIES GRAN COUPE,3 SER. GT,3 SERIES,4 SER. GRAN COUPE,4 SERIES,5 SERIES,6 GRAN COUPE,6 SERIES,6 SERIES GT,7 SERIES,8 SERIES,I4,IX,M2,M3,M4,M5,M5 LIMOUSINE,M5 TOURING,M6,M6 CABRIO,M6 COUPE,M8,X1,X2,X3,X4,X5,X6,X7,Z3,Z3 ROADSTER,Z4","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",475,"BLACK SAPHIR-MET.,BLACK SAPPHIRE-MET.,BLACK SHAPPHIRE-MET.,MIDNIGHT BLACK 2-MET.,PRETO SAFIRA-MET.,SAPHIRSCHWARZ-MET.,SAPPHIRE BLACK-MET.",655557,691afb0a34e432.96897834,BMW,X5,,/v2/search/family,BMW M475 BLACKSAPHIR-MET. 2000 - 2025 Roof,2000 - 2025,BLACKSAPHIR-MET.(EU),https://cdn.shopify.com/s/files/1/0600/6938/0246/files/c6b7faeadbcc07932f129e3a7a3d7c9a.png?v=1763389835
,STANDARD,28257,Color Information,"rgba(1, 1, 1, 1)",BMW,WA90,Manufacturer,2008 - 2025,"5 SERIES,6 SERIES,6 SERIES GT,7 SERIES,I8,M5,X1,X3,X4,X5,X6,X7","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",A90,"CINZA SOPHISTO-MET.,DUNKELGRAU XIRALLIC-MET.,SOPHISTO GREY BRILLIANT EFFECT-MET.,SOPHISTO GREY-MET.,SOPHISTOGRAU-MET.",3140,691afb0a34e432.96897834,BMW,X5,,/v2/search/family,BMW WA90 DARK GRAPHITE-MET. 2008 - 2025,2008 - 2025,DARK GRAPHITE-MET.,paint\colors\BMW\2025\X5\Related Colors\Color Family\Solid and Effect\1763389845192_64109_3140_691afb0a34e432.96897834_0.png
,STANDARD,28628,Color Information,"rgba(105, 106, 100, 1)",BMW,WA96,Manufacturer,2008 - 2025,"1 SERIES,1 SERIES,118,120,2 ACTIVE TOURER,2 SERIES,2 SERIES,2-SERIES GRAN COUPE,2-SERIES GRAN TOURER,3 SER. GT,3 SER. GT,3 SERIES,3 SERIES,4 SER. GRAN COUPE,4 SERIES,4 SERIES,5 SERIES,5 SERIES,6 GRAN COUPE,6 SERIES,6 SERIES,6 SERIES GT,6 SERIES GT,7 SERIES,7 SERIES,8 SERIES,I4,IX,IX3,M2,M3,M3 COUPE,M3 LIMOUSINE,M4,M4,M6,M8,X1,X1,X2,X2,X3,X3,X4,X4,X5,X5,X6,X6,X7,Z4,Z4","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",A96,"BRANCO MINERAL-MET.,MINERAL WHITE-MET.,MINERALNAYA BELYY-MET.,NANUQ WHITE-MET.",3142,691afb0a34e432.96897834,BMW,X5,,/v2/search/family,BMW WA96 MINERALWEISS-MET. 2008 - 2025,2008 - 2025,MINERALWEISS-MET.,paint\colors\BMW\2025\X5\Related Colors\Color Family\Solid and Effect\1763389874153_52541_3142_691afb0a34e432.96897834_0.png
,STANDARD,37540,Color Information,"rgba(0, 1, 1, 1)",BMW,WC1M,Manufacturer,2017 - 2025,"1 SERIES,2 ACTIVE TOURER,2 SERIES,2-SERIES GRAN COUPE,2-SERIES GRAN TOURER,3 SERIES,5 SERIES,6 SERIES,6 SERIES GT,7 SERIES,I5,IX,IX1,IX3,M5,X1,X2,X3,X3,X4,X5,X6,X7","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",C1M,PHYTONIC BLUE-MET.,79918,691afb0a34e432.96897834,BMW,X5,,/v2/search/family,BMW WC1M PHYTONICBLAU-MET. 2017 - 2025,2017 - 2025,PHYTONICBLAU-MET.,paint\colors\BMW\2025\X5\Related Colors\Color Family\Solid and Effect\1763389890392_43744_79918_691afb0a34e432.96897834_0.png
,STANDARD,35940,Color Information,"rgba(1, 1, 1, 1)",BMW,WC3D,Manufacturer,2018 - 2025,"X5,X6,X7","[object Object],[object Object],[object Object]",C3D,,262875,691afb0a34e432.96897834,BMW,X5,,/v2/search/family,BMW WC3D MANHATTAN-MET. 2018 - 2025,2018 - 2025,MANHATTAN-MET.,paint\colors\BMW\2025\X5\Related Colors\Color Family\Solid and Effect\1763389905786_95626_262875_691afb0a34e432.96897834_0.png
,STANDARD,35765,Color Information,"rgba(1, 0, 0, 1)",BMW,WX1B,Manufacturer,2017 - 2025,"X5,X6","[object Object],[object Object]",X1B,,204732,691afb0a34e432.96897834,BMW,X5,,/v2/search/family,BMW WX1B AMETRIN-MET. 2017 - 2025,2017 - 2025,AMETRIN-MET.,paint\colors\BMW\2025\X5\Related Colors\Color Family\Solid and Effect\1763389920819_14110_204732_691afb0a34e432.96897834_0.png
,STANDARD,35765,Color Information,"rgba(1, 0, 0, 1)",BMW,X1B,Manufacturer,2017 - 2025,"X5,X6","[object Object],[object Object]",WX1B,,204733,691afb0a34e432.96897834,BMW,X5,,/v2/search/family,BMW X1B AMETRIN-MET. 2017 - 2025,2017 - 2025,AMETRIN-MET.,paint\colors\BMW\2025\X5\Related Colors\Color Family\Solid and Effect\1763389936482_38879_204733_691afb0a34e432.96897834_0.png
,STANDARD,10726,Color Information,"rgb(207, 205, 198)",BMW,300,Manufacturer,1993 - 2025,"1 SERIES,1 SERIES,120,2 ACTIVE TOURER,2 SERIES,2 SERIES,2-SERIES GRAN COUPE,2-SERIES GRAN TOURER,3 SER. GT,3 SER. GT,3 SERIES,3 SERIES,4 SER. GRAN COUPE,4 SER. GRAN COUPE,4 SERIES,4 SERIES,5 SERIES,5 SERIES,6 GRAN COUPE,6 SERIES,6 SERIES,6 SERIES GT,6 SERIES GT,7 SERIES,7 SERIES,8 SERIES,850,I4,IX,M2,M3,M3 COUPE,M3 LIMOUSINE,M4,M5,M5 LIMOUSINE,M5 TOURING,M6,M6 CABRIO,M6 COUPE,M760 LI,M8,X1,X2,X3,X4,X5,X6,X7,Z3,Z3 ROADSTER,Z4","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","ALPIN WHITE,ALPINE WHITE,ALPINE WHITE III,BRANCO ALPINO","ALPIN WHITE,ALPINE WHITE,ALPINE WHITE III,BRANCO ALPINO",2570,691afb0a34e432.96897834,BMW,X6,,/v2/search/family,BMW 300 ALPINWEISS III 1993 - 2025,1993 - 2025,ALPINWEISS III,paint\colors\BMW\2025\X6\Related Colors\Color Family\Solid and Effect\1763390008590_82902_2570_691afb0a34e432.96897834_0.png
,STANDARD,21329,Color Information,"rgba(0, 0, 1, 1)",BMW,416,Manufacturer,1998 - 2025,"1 SERIES,3 SERIES,4 SER. GRAN COUPE,4 SERIES,5 SERIES,6 GRAN COUPE,6 SERIES,6 SERIES GT,7 SERIES,M3,M3 COUPE,M3 LIMOUSINE,M5,M5 LIMOUSINE,M5 TOURING,M6,M6 CABRIO,M6 COUPE,X3,X4,X5,X6,Z4","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",M416,"CARBON BLACK-MET.,PRETO CARBONO-MET.",2748,691afb0a34e432.96897834,BMW,X6,,/v2/search/family,BMW 416 CARBONSCHWARZ-MET. 1998 - 2025,1998 - 2025,CARBONSCHWARZ-MET.,paint\colors\BMW\2025\X6\Related Colors\Color Family\Solid and Effect\1763390024852_28550_2748_691afb0a34e432.96897834_0.png
Roof,STANDARD,20835,Color Information,"rgba(0, 1, 1, 1)",BMW,475,Manufacturer,2000 - 2025,"1 SERIES,118,120,2 SERIES,2-SERIES GRAN COUPE,3 SER. GT,3 SERIES,4 SER. GRAN COUPE,4 SERIES,5 SERIES,6 GRAN COUPE,6 SERIES,6 SERIES GT,7 SERIES,8 SERIES,I4,IX,M2,M3,M4,M5,M5 LIMOUSINE,M5 TOURING,M6,M6 CABRIO,M6 COUPE,M8,X1,X2,X3,X4,X5,X6,X7,Z3,Z3 ROADSTER,Z4","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",M475,"BLACK SAPPHIRE-MET.,BLACK SHAPPHIRE-MET.,PRETO SAFIRA-MET.,SAPHIRSCHWARZ-MET.,SAPPHIRE BLACK-MET.",2799,691afb0a34e432.96897834,BMW,X6,,/v2/search/family,BMW 475 BLACKSAPHIR-MET. 2000 - 2025 Roof,2000 - 2025,BLACKSAPHIR-MET.(EU),paint\colors\BMW\2025\X6\Related Colors\Color Family\Solid and Effect\1763390038666_31395_2799_691afb0a34e432.96897834_0.png
"Bumper, Door Window, Mirror",STANDARD,20863,Color Information,"rgb(27, 27, 28)",BMW,668,Manufacturer,1990 - 2025,"1 SERIES,2 SERIES,3 SERIES,4 SERIES,5 SERIES,6 GRAN COUPE,6 SERIES,6 SERIES GT,7 SERIES,850,I3,I8,M3,M3 COUPE,M3 LIMOUSINE,M5,M5 LIMOUSINE,M5 TOURING,X1,X2,X3,X4,X5,X6,Z3,Z3 ROADSTER,Z4,Z8","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","BLACK,BONNET FLUID BLACK,FLUID BLACK,JET BLACK","BLACK,BONNET FLUID BLACK,FLUID BLACK,JET BLACK",2881,691afb0a34e432.96897834,BMW,X6,,/v2/search/family,"BMW 668 SCHWARZ II 1990 - 2025 Bumper, Door Window, Mirror",1990 - 2025,SCHWARZ II,paint\colors\BMW\2025\X6\Related Colors\Color Family\Solid and Effect\1763390053233_51168_2881_691afb0a34e432.96897834_0.png
,STANDARD,28257,Color Information,"rgba(1, 1, 1, 1)",BMW,A90,Manufacturer,2008 - 2025,"5 SERIES,6 SERIES,6 SERIES GT,7 SERIES,I8,M5,X1,X3,X4,X5,X6,X7","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",WA90,"CINZA SOPHISTO-MET.,DUNKELGRAU XIRALLIC-MET.,SOPHISTO GREY BRILLIANT EFFECT-MET.,SOPHISTO GREY-MET.,SOPHISTOGRAU-MET.",3012,691afb0a34e432.96897834,BMW,X6,,/v2/search/family,BMW A90 DARK GRAPHITE-MET. 2008 - 2025,2008 - 2025,DARK GRAPHITE-MET.,paint\colors\BMW\2025\X6\Related Colors\Color Family\Solid and Effect\1763390068784_61969_3012_691afb0a34e432.96897834_0.png
,STANDARD,28628,Color Information,"rgba(103, 104, 99, 1)",BMW,A96,Manufacturer,2008 - 2025,"1 SERIES,1 SERIES,118,120,2 ACTIVE TOURER,2 SERIES,2 SERIES,2-SERIES GRAN COUPE,2-SERIES GRAN TOURER,3 SER. GT,3 SER. GT,3 SERIES,3 SERIES,4 SER. GRAN COUPE,4 SERIES,4 SERIES,5 SERIES,5 SERIES,6 GRAN COUPE,6 SERIES,6 SERIES,6 SERIES GT,6 SERIES GT,7 SERIES,7 SERIES,8 SERIES,I4,IX,IX3,M2,M3,M3 COUPE,M3 LIMOUSINE,M4,M4,M6,M8,X1,X1,X2,X2,X3,X3,X4,X4,X5,X5,X6,X6,X7,Z4,Z4","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",WA96,"BRANCO MINERAL-MET.,MINERAL WHITE-MET.,MINERALNAYA BELYY-MET.,NANUQ WHITE-MET.",3014,691afb0a34e432.96897834,BMW,X6,,/v2/search/family,BMW A96 MINERALWEISS-MET. 2008 - 2025,2008 - 2025,MINERALWEISS-MET.,paint\colors\BMW\2025\X6\Related Colors\Color Family\Solid and Effect\1763390085100_93231_3014_691afb0a34e432.96897834_0.png
,STANDARD,37540,Color Information,"rgba(0, 1, 1, 1)",BMW,C1M,Manufacturer,2017 - 2025,"1 SERIES,2 ACTIVE TOURER,2 SERIES,2-SERIES GRAN COUPE,2-SERIES GRAN TOURER,3 SERIES,5 SERIES,6 SERIES,6 SERIES GT,7 SERIES,I5,IX,IX1,IX3,M5,X1,X2,X3,X3,X4,X5,X6,X7","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",WC1M,PHYTONIC BLUE-MET.,79917,691afb0a34e432.96897834,BMW,X6,,/v2/search/family,BMW C1M PHYTONICBLAU-MET. 2017 - 2025,2017 - 2025,PHYTONICBLAU-MET.,paint\colors\BMW\2025\X6\Related Colors\Color Family\Solid and Effect\1763390100339_41688_79917_691afb0a34e432.96897834_0.png
,STANDARD,35940,Color Information,"rgba(1, 1, 1, 1)",BMW,C3D,Manufacturer,2018 - 2025,"X5,X6,X7","[object Object],[object Object],[object Object]",WC3D,,262867,691afb0a34e432.96897834,BMW,X6,,/v2/search/family,BMW C3D MANHATTAN-MET. 2018 - 2025,2018 - 2025,MANHATTAN-MET.,paint\colors\BMW\2025\X6\Related Colors\Color Family\Solid and Effect\1763390115115_21941_262867_691afb0a34e432.96897834_0.png
,STANDARD,31582,Color Information,"rgba(0, 0, 1, 1)",BMW,C3Z,Manufacturer,2011 - 2025,"3 SERIES,4 SER. GRAN COUPE,4 SERIES,5 SERIES,6 GRAN COUPE,6 SERIES,6 SERIES GT,7 SERIES,8 SERIES,M3,M4,M5,M6,M6 CABRIO,M6 COUPE,X5,X6,X7","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","WX10,X10","ENIGMATIC BLUE-MET.,TANZANITE BLUE-MET.",562426,691afb0a34e432.96897834,BMW,X6,,/v2/search/family,BMW C3Z TANSANITBLAU-MET. 2011 - 2025,2011 - 2025,TANSANITBLAU-MET.,paint\colors\BMW\2025\X6\Related Colors\Color Family\Solid and Effect\1763390130037_40953_562426_691afb0a34e432.96897834_0.png
,STANDARD,21329,Color Information,"rgba(0, 0, 1, 1)",BMW,M416,Manufacturer,1998 - 2025,"1 SERIES,3 SERIES,3 SERIES,4 SER. GRAN COUPE,4 SERIES,5 SERIES,6 GRAN COUPE,6 SERIES,6 SERIES GT,7 SERIES,8 SERIES,M3,M3 COUPE,M3 LIMOUSINE,M5,M5 LIMOUSINE,M5 TOURING,M6,M6 CABRIO,M8,X3,X3,X4,X5,X6,X7,Z4","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",416,"CARBON BLACK-MET.,PRETO CARBONO-MET.",596297,691afb0a34e432.96897834,BMW,X6,,/v2/search/family,BMW M416 CARBONSCHWARZ-MET. 1998 - 2025,1998 - 2025,CARBONSCHWARZ-MET.,paint\colors\BMW\2025\X6\Related Colors\Color Family\Solid and Effect\1763390144217_37595_596297_691afb0a34e432.96897834_0.png
